user,password
user1,zxcvbn
user2,password2
user3,zxcvbn
user4,password4
user5,password5
user6,password6
user7,password7
user8,password8
user9,password9
user10,password10
98,589744
94988,649864
zhangsan,1234568
zhangsan1,1234568
xxjtcsm,xlsdb212
ssh,114514
nmsl,qwerty
asd,12345678901234567890
sadas,123456
sdgdfb,fdsfdgfegfd
cxy,123456
aced,qqwerwqe
10000000,123456
100000,123456
1024587,123456
gdsg,123456
xys,xlsdb212
zmjjkk,$2a$10$zqjwPAQGgyBUkUoR0PwEYe0L/sC/cDbnIj04TSQJdrPeNnXDy8kiG
zdz,c3ac42f794aebec9b289e5134630cf70d5eff796e4923c75250eecc61f5f1475
apa,094dacfa4ae26448b7e7fdb6bf45b639ea9c9de2f942aa42310305f0657f9c61
